n,seed,milp_greedy_split,milp_optimal_split,nn_greedy_split,exhaustive_opt,gap_greedy_vs_optsplit,gap_milp_vs_exhaustive
5,1,192023.52,95452.04,196338.98,95452.04,1.0117,1.0117
5,2,112684.30,112684.30,112684.30,112684.30,0.0000,0.0000
5,3,270723.69,194044.95,270723.69,185603.11,0.3952,0.4586
5,4,732081.92,589476.89,732081.92,224354.80,0.2419,2.2631
5,5,170354.60,170354.60,170354.60,170354.60,0.0000,0.0000
5,6,196723.93,121575.18,196723.93,121575.18,0.6181,0.6181
5,7,672626.54,672626.54,672626.54,540307.09,0.0000,0.2449
5,8,1464796.35,1464796.35,1464796.35,858690.20,0.0000,0.7058
5,9,160069.81,143753.58,160069.81,143753.58,0.1135,0.1135
5,10,170868.94,170868.94,176235.59,167875.38,0.0000,0.0178
6,1,530294.32,530294.32,852615.80,311525.14,0.0000,0.7023
6,2,1756653.91,1756653.91,1698790.89,990278.80,0.0000,0.7739
6,3,201206.23,201206.23,201206.23,175716.68,0.0000,0.1451
6,4,700699.41,700699.41,700699.41,248895.19,0.0000,1.8152
6,5,187059.94,120748.22,187059.94,120748.22,0.5492,0.5492
6,6,556395.21,479203.32,556395.21,256985.67,0.1611,1.1651
6,7,593382.38,593382.38,593382.38,591946.40,0.0000,0.0024
6,8,372167.94,372167.94,372167.94,331641.68,0.0000,0.1222
6,9,172339.78,172339.78,172339.78,164713.71,0.0000,0.0463
6,10,215101.23,215101.23,372165.83,181433.41,0.0000,0.1856
7,1,477167.36,239854.12,477167.36,190500.47,0.9894,1.5048
7,2,1700379.58,1584089.52,1552700.56,694508.29,0.0734,1.4483
7,3,740679.29,328528.35,740679.29,270664.22,1.2545,1.7365
7,4,2520080.74,2520080.74,2520080.74,1499148.05,0.0000,0.6810
7,5,765476.52,561656.20,765476.52,323440.61,0.3629,1.3667
7,6,720352.17,701627.20,720352.17,553606.14,0.0267,0.3012
7,7,906815.01,715453.96,906815.01,346627.09,0.2675,1.6161
7,8,394915.46,394915.46,394915.46,193090.54,0.0000,1.0452
7,9,759232.88,759232.88,399637.58,304579.03,0.0000,1.4927
7,10,694141.57,677306.95,506540.18,341847.12,0.0249,1.0306
8,1,802631.81,705984.76,802631.81,NA,0.1369,NA
8,2,734253.08,662671.82,1408055.72,NA,0.1080,NA
8,3,1156143.66,809057.69,1156143.66,NA,0.4290,NA
8,4,1128076.56,609057.39,534301.98,NA,0.8522,NA
8,5,647111.71,506813.96,647111.71,NA,0.2768,NA
8,6,888647.13,888647.13,896396.57,NA,0.0000,NA
8,7,2033130.89,2033130.89,1977837.13,NA,0.0000,NA
8,8,3330077.19,3330077.19,3330077.19,NA,0.0000,NA
8,9,166520.89,166520.89,538317.51,NA,0.0000,NA
8,10,3798863.44,3356757.48,3798863.44,NA,0.1317,NA
10,1,995322.54,981998.55,1151173.27,NA,0.0136,NA
10,2,1871971.71,1871971.71,1871971.71,NA,0.0000,NA
10,3,1689369.97,1587577.42,1647765.44,NA,0.0641,NA
10,4,5063032.01,5063032.01,5962506.17,NA,0.0000,NA
10,5,1930998.14,1775621.92,1930998.14,NA,0.0875,NA
10,6,1528589.16,1528589.16,1894300.80,NA,0.0000,NA
10,7,2311405.74,2182106.96,2118957.69,NA,0.0593,NA
10,8,1176222.35,1176222.35,1019405.40,NA,0.0000,NA
10,9,2351114.74,2307406.06,2052244.61,NA,0.0189,NA
10,10,1750825.74,1750825.74,1750825.74,NA,0.0000,NA
12,1,5752170.03,4950065.31,5518194.64,NA,0.1620,NA
12,2,3457932.75,3457932.75,4422210.05,NA,0.0000,NA
12,3,1169884.26,922388.62,896095.32,NA,0.2683,NA
12,4,7538696.97,7538696.97,9461614.99,NA,0.0000,NA
12,5,2723422.49,2531657.03,2715065.53,NA,0.0757,NA
12,6,3016372.42,3016372.42,3003329.56,NA,0.0000,NA
12,7,6898847.89,6898847.89,6754894.20,NA,0.0000,NA
12,8,3785823.07,3650081.08,3785823.07,NA,0.0372,NA
12,9,1228107.80,1228107.80,2485547.31,NA,0.0000,NA
12,10,6387465.21,5352466.27,4863962.01,NA,0.1934,NA
