# instance,rnd-n30-s5
# n,v_knots,F_per_h,c_per_tonmile,w_tons,PR_tons_h,S_h,P,Qmax_tons
30,12.5000,500.0000,0.003200,1500.00,150.00,1.00,1.0000,4020.59
# plant,CAP_tons,I0_tons,CR_tons_h,deadline_h
1,1310.13,1015.93,2.4782,409.94
2,1812.84,1093.10,3.9725,275.17
3,1477.67,1173.65,2.6673,440.02
4,559.96,429.39,1.3444,319.40
5,3294.65,2102.27,5.9403,353.90
6,469.46,292.18,1.1386,256.62
7,2186.88,1665.17,5.0496,329.76
8,2726.30,1832.66,4.8141,380.68
9,725.94,456.79,1.5990,285.66
10,2840.85,1946.80,5.6040,347.39
11,1617.75,1160.81,3.2232,360.14
12,3350.49,2618.59,5.8489,447.70
13,2238.49,1494.56,3.7685,396.59
14,1430.39,998.26,2.4374,409.56
15,1194.80,889.53,2.0202,440.32
16,964.37,762.44,1.9450,391.99
17,2511.15,1623.79,4.9046,331.08
18,2335.65,1576.16,4.4346,355.43
19,1777.71,1278.76,4.2362,301.86
20,2569.75,1750.97,4.7971,365.01
21,1325.24,989.10,3.2573,303.65
22,2267.64,1388.82,4.0589,342.17
23,1346.64,1020.19,2.8774,354.55
24,1834.64,1289.94,3.1281,412.38
25,1091.38,814.02,2.5288,321.90
26,1822.01,1138.88,3.9305,289.75
27,2971.59,2368.17,5.4531,434.28
28,1701.85,1192.71,3.0054,396.86
29,634.60,382.71,1.4846,257.79
30,557.43,391.08,1.1664,335.29
# distance matrix (nm), rows/cols 0..n+1
0.00,216.23,651.57,912.65,1023.39,1210.72,295.81,544.25,1253.50,365.54,861.02,326.20,1020.05,559.08,464.48,932.04,494.74,579.74,1021.60,1036.55,824.28,964.35,579.00,1179.33,664.33,263.48,643.11,225.99,702.09,930.51,1123.03,0.00
216.23,0.00,464.15,739.34,840.33,1032.51,182.45,421.77,1090.28,245.75,664.91,131.94,818.85,356.53,261.11,750.06,323.44,364.96,820.38,882.52,665.71,777.48,480.83,990.52,488.17,127.96,436.79,125.26,589.36,721.89,925.56,0.00
651.57,464.15,0.00,280.65,376.19,568.72,369.51,238.60,634.78,315.91,213.22,455.73,376.88,129.22,415.03,286.05,536.89,325.56,378.43,443.26,236.16,314.06,306.83,528.45,56.80,389.18,430.96,428.93,306.32,318.26,473.62,0.00
912.65,739.34,280.65,0.00,126.47,298.56,618.75,401.01,354.13,553.14,172.82,736.25,245.85,407.00,685.72,59.70,803.18,574.54,246.80,179.85,115.74,105.10,421.16,286.98,251.31,649.92,661.81,686.66,328.15,302.93,281.75,0.00
1023.39,840.33,376.19,126.47,0.00,194.44,732.69,525.02,287.69,669.63,199.08,822.95,169.65,492.95,755.72,91.37,866.44,631.07,169.89,203.05,241.74,68.14,547.57,161.74,359.24,759.90,703.40,798.09,452.91,274.90,164.37,0.00
1210.72,1032.51,568.72,298.56,194.44,0.00,917.26,694.46,136.72,851.62,390.07,1017.38,303.24,687.26,948.53,282.72,1057.20,820.96,302.52,241.68,399.66,261.45,703.12,106.96,547.20,947.61,886.78,984.79,592.47,432.92,214.83,0.00
295.81,182.45,369.51,618.75,732.69,917.26,0.00,254.08,957.69,71.50,582.65,281.96,745.76,304.44,368.82,641.42,466.64,416.11,747.31,741.10,528.49,676.33,303.36,891.10,373.96,54.56,516.92,73.47,418.87,672.31,842.78,0.00
544.25,421.77,238.60,401.01,525.02,694.46,254.08,0.00,717.84,182.66,423.06,481.19,582.98,278.63,509.44,437.95,630.03,481.54,584.45,496.93,295.04,480.47,81.10,686.75,204.18,301.37,595.98,327.54,167.61,549.61,661.05,0.00
1253.50,1090.28,634.78,354.13,287.69,136.72,957.69,717.84,0.00,888.60,485.24,1090.34,427.76,760.61,1035.12,360.34,1149.27,915.59,427.26,222.62,429.23,354.56,710.80,243.53,602.79,993.98,990.89,1028.52,590.09,552.51,349.30,0.00
365.54,245.75,315.91,553.14,669.63,851.62,71.50,182.66,888.60,0.00,528.42,328.59,692.51,271.96,394.70,578.70,502.85,417.54,694.06,671.01,459.71,615.38,235.28,829.35,313.26,120.30,525.46,144.95,348.13,627.65,785.86,0.00
861.02,664.91,213.22,172.82,199.08,390.07,582.65,423.06,485.24,528.42,0.00,633.63,164.23,309.21,558.57,132.54,667.68,432.04,165.77,348.73,232.05,131.09,472.06,329.22,222.35,600.45,506.19,640.70,418.22,145.96,262.01,0.00
326.20,131.94,455.73,736.25,822.95,1017.38,281.96,481.19,1090.34,328.59,633.63,0.00,775.05,330.69,138.48,736.32,192.66,265.70,776.52,895.32,680.67,756.63,551.75,962.81,493.01,231.22,317.14,244.84,645.00,664.68,886.19,0.00
1020.05,818.85,376.88,245.85,169.65,303.24,745.76,582.98,427.76,692.51,164.23,775.05,0.00,462.64,683.90,186.20,781.47,546.37,1.56,371.90,348.80,142.27,625.84,211.38,385.56,761.56,596.73,802.14,556.19,131.92,113.21,0.00
559.08,356.53,129.22,407.00,492.95,687.26,304.44,278.63,760.61,271.96,309.21,330.69,462.64,0.00,286.56,405.68,409.32,212.22,464.18,572.42,364.27,427.36,358.76,637.14,176.92,307.46,324.75,348.56,397.29,373.04,569.08,0.00
