P,total_cost,charter,empty_fuel,cargo_fuel,penalty,voyage_h,late_plants,total_tardiness_h
0.00,269483.20,229449.24,24732.45,15301.50,0.00,458.90,3,513.85
0.10,342737.08,229449.24,24732.45,15301.50,73253.88,458.90,3,513.85
0.25,452617.90,229449.24,24732.45,15301.50,183134.70,458.90,3,513.85
0.50,635752.60,229449.24,24732.45,15301.50,366269.40,458.90,3,513.85
1.00,1002022.01,229449.24,24732.45,15301.50,732538.81,458.90,3,513.85
2.00,1734560.81,229449.24,24732.45,15301.50,1465077.61,458.90,3,513.85
5.00,3932177.23,229449.24,24732.45,15301.50,3662694.03,458.90,3,513.85
10.00,7594871.26,229449.24,24732.45,15301.50,7325388.05,458.90,3,513.85
25.00,18582953.34,229449.24,24732.45,15301.50,18313470.14,458.90,3,513.85
100.00,73523363.75,229449.24,24732.45,15301.50,73253880.55,458.90,3,513.85
