n,seed,vars,constrs,milp_time_s,milp_obj,milp_bound,milp_gap,heur_time_s,heur_cost,heur_gap_vs_bound
2,1,18,23,0.01,50250.06,50250.06,0.0000,0.0008,50250.06,0.0000
2,2,18,23,0.00,70821.51,70821.51,0.0000,0.0000,70821.51,0.0000
2,3,18,23,0.00,54214.04,54214.04,0.0000,0.0000,54214.04,0.0000
2,4,18,23,0.00,57908.62,57908.62,0.0000,0.0000,57908.62,0.0000
2,5,18,23,0.00,38249.99,38249.99,0.0000,0.0000,38249.99,0.0000
2,6,18,23,0.00,40882.55,40882.55,0.0000,0.0000,40882.55,0.0000
2,7,18,23,0.00,69541.39,69541.39,0.0000,0.0000,69541.39,0.0000
2,8,18,23,0.00,64439.18,64439.18,0.0000,0.0000,64439.18,0.0000
2,9,18,23,0.00,54490.81,54490.81,0.0000,0.0000,54490.81,0.0000
2,10,18,23,0.00,43283.07,43283.07,0.0000,0.0000,43283.07,0.0000
3,1,32,39,0.01,55303.31,55303.31,0.0000,0.0000,55303.31,0.0000
3,2,32,39,0.01,88121.23,88121.23,0.0000,0.0000,199423.77,1.2631
3,3,32,39,0.01,69203.72,69203.72,0.0000,0.0000,69203.72,0.0000
3,4,32,39,0.01,117293.76,117293.76,0.0000,0.0000,190754.78,0.6263
3,5,32,39,0.00,63410.71,63410.71,0.0000,0.0000,63410.71,0.0000
3,6,32,39,0.00,62944.88,62944.88,0.0000,0.0000,62944.88,0.0000
3,7,32,39,0.01,73551.10,73551.10,0.0000,0.0000,73551.10,0.0000
3,8,32,39,0.00,67665.63,67665.63,0.0000,0.0000,67665.63,0.0000
3,9,32,39,0.01,60382.31,60382.31,0.0000,0.0000,60382.31,0.0000
3,10,32,39,0.01,59967.79,59967.79,0.0000,0.0000,59967.79,0.0000
4,1,50,59,0.01,92544.73,92544.73,0.0000,0.0000,92544.73,0.0000
4,2,50,59,0.01,126085.63,126085.63,0.0000,0.0000,226394.48,0.7956
4,3,50,59,0.01,77468.12,77468.12,0.0000,0.0000,166694.24,1.1518
4,4,50,59,0.01,108551.84,108551.84,0.0000,0.0000,197218.89,0.8168
4,5,50,59,0.01,62594.94,62594.94,0.0000,0.0000,62594.94,0.0000
4,6,50,59,0.01,80663.78,80663.78,0.0000,0.0000,162642.23,1.0163
4,7,50,59,0.01,80866.59,80866.59,0.0000,0.0000,80866.59,0.0000
4,8,50,59,0.01,89908.76,89908.76,0.0000,0.0000,174932.40,0.9457
4,9,50,59,0.01,67971.66,67971.66,0.0000,0.0000,135222.03,0.9894
4,10,50,59,0.01,97707.27,97707.27,0.0000,0.0000,97707.27,0.0000
5,1,72,83,0.04,90949.46,90949.46,0.0000,0.0001,192023.52,1.1113
5,2,72,83,0.05,112684.30,112684.30,0.0000,0.0000,112684.30,0.0000
5,3,72,83,0.05,100038.56,100038.56,0.0000,0.0000,270723.69,1.7062
5,4,72,83,0.06,155012.64,155012.64,0.0000,0.0000,732081.92,3.7227
5,5,72,83,0.03,84517.59,84517.59,0.0000,0.0000,170354.60,1.0156
5,6,72,83,0.05,101699.68,101699.68,0.0000,0.0000,196723.93,0.9344
5,7,72,83,0.04,104517.63,104517.63,0.0000,0.0000,672626.54,5.4355
5,8,72,83,0.04,117114.18,117114.18,0.0000,0.0000,1464796.35,11.5074
5,9,72,83,0.04,75829.54,75829.54,0.0000,0.0000,160069.81,1.1109
5,10,72,83,0.05,130943.58,130943.58,0.0000,0.0000,170868.94,0.3049
6,1,98,111,0.13,116421.94,116421.94,0.0000,0.0000,530294.32,3.5549
6,2,98,111,0.20,153877.38,153877.38,0.0000,0.0000,1756653.91,10.4159
6,3,98,111,0.13,110672.41,110672.41,0.0000,0.0000,201206.23,0.8180
6,4,98,111,0.16,145817.92,145817.92,0.0000,0.0000,700699.41,3.8053
6,5,98,111,0.08,92352.05,92352.05,0.0000,0.0000,187059.94,1.0255
6,6,98,111,0.10,106408.87,106408.87,0.0000,0.0000,556395.21,4.2288
6,7,98,111,0.09,112755.20,112755.20,0.0000,0.0000,593382.38,4.2626
6,8,98,111,0.26,98007.25,98007.25,0.0000,0.0000,372167.94,2.7974
6,9,98,111,0.20,105887.80,105887.80,0.0000,0.0000,172339.78,0.6276
6,10,98,111,0.18,142275.12,142275.12,0.0000,0.0000,215101.23,0.5119
8,1,162,179,1.12,125561.13,125561.13,0.0000,0.0000,802631.81,5.3924
8,2,162,179,1.79,153003.75,153003.75,0.0000,0.0000,734253.08,3.7989
8,3,162,179,0.98,150527.80,150527.80,0.0000,0.0000,1156143.66,6.6806
8,4,162,179,1.97,179448.14,179448.14,0.0000,0.0000,1128076.56,5.2864
8,5,162,179,1.75,120079.34,120079.34,0.0000,0.0000,647111.71,4.3890
8,6,162,179,1.88,121795.87,121795.87,0.0000,0.0000,888647.13,6.2962
8,7,162,179,2.10,144593.45,144593.45,0.0000,0.0000,2033130.89,13.0610
8,8,162,179,2.59,149073.31,149073.31,0.0000,0.0000,3330077.19,21.3385
8,9,162,179,2.71,133946.17,133946.17,0.0000,0.0000,166520.89,0.2432
